F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root         828       1  0  80   0 - 116778 -     02:48 ?        00:00:00 /usr/sbin/abrtd -d -s
4 S dbus         833     818  0  80   0 -  2724 -      02:48 ?        00:00:00 dbus-broker --log 4 --controller 9 --machine-id ddd768ae5a06441896a6fa01673113aa --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
5 S chrony       847       1  0  80   0 - 21288 -      02:48 ?        00:00:00 /usr/sbin/chronyd -F 2
1 S root         856       2  0  58   - -     0 -      02:48 ?        00:00:00 [psimon]
4 S root         870       1  0  80   0 - 87105 -      02:48 ?        00:00:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
4 S root         871       1  0  80   0 - 93647 -      02:48 ?        00:00:00 /usr/bin/abrt-dump-journal-oops -fxtD
4 S root         872       1  0  80   0 - 100173 -     02:48 ?        00:00:00 /usr/bin/abrt-dump-journal-xorg -fxtD
4 S root         873       1  0  99   - -  1206 -      02:48 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
4 S root         876       1  0  80   0 - 97587 -      02:48 ?        00:00:00 /usr/sbin/ModemManager
4 S root         877       1  0  80   0 - 88018 -      02:48 ?        00:00:00 /usr/bin/python3 -s /usr/sbin/firewalld --nofork --nopid
4 S root         892       1  0  80   0 - 118786 -     02:48 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
4 S root         899       1  0  80   0 - 60437 -      02:48 ?        00:00:00 /usr/sbin/cupsd -l
1 S root         905       1  0  80   0 - 67717 -      02:48 ?        00:00:00 /usr/sbin/gssproxy -D
4 S root        1040       1  0  80   0 - 116919 -     02:48 ?        00:00:00 /usr/sbin/abrt-dbus -t133
4 S root        1052       1  0  80   0 - 113412 -     02:48 ?        00:00:00 /usr/sbin/gdm
4 S root        1082       1  0  80   0 - 58485 -      02:48 ?        00:00:00 /usr/libexec/uresourced
4 S root        1182       1  0  80   0 -  3786 -      02:48 ?        00:00:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
4 S root        1186       1  0  80   0 - 195067 -     02:48 ?        00:00:03 /usr/libexec/packagekitd
4 S root        1330       1  0  80   0 - 117792 -     02:48 ?        00:00:00 /usr/sbin/pcscd --foreground --auto-exit
